Category,SubCategory,SubSubCategory,SubSubCategory (input),Filter Yes = Include No = Don't Include,Description
Vehicles & Traffic,Vehicle Equipment,Obscuring License Plate,obscuring_license_plate,Yes,License plate not visible or obscured by cover or other accessory to prevent or impede surveillance equipment or identification.
Vehicles & Traffic,Vehicle Equipment,Recreational Vehicle Equipment Violation,recreational_vehicle_equipment_violation,Yes,"Boat, plane, motorcycle or other vehicle not having proper equipement that is legally necessary."
Vehicles & Traffic,Vehicle Equipment,Seatbelt Violation,seatbelt_violation,Yes,Not wearing a seatbelt.
Vehicles & Traffic,Vehicle Equipment,Unsafe Vehicle Load,unsafe_vehicle_load,Yes,Unsafe load or cargo on a vehicle.
Vehicles & Traffic,Vehicle Equipment,Vehicle Lights Violation,vehicle_lights_violation,Yes,"Issue with headlight or tailights only.  Includes improper use, broken, or other issue. Does not include license plate light."
Vehicles & Traffic,Vehicle Equipment,Window Tint Violation,window_tint_violation,Yes,"Tinted, reflective windows or other vehicle window violation."
Violence,Abduction & Restraint,Abduction,abduction,Yes,Abduction is when someone uses deceit or force in order to take a person or a child away from their home or relatives.
Violence,Abduction & Restraint,False Imprisonment,false_imprisonment,Yes,False imprisonment occurs when a person is restricted in their personal movement within any area without justification or consent.
Violence,Abduction & Restraint,Human Trafficking,human_trafficking,Yes,"The action or practice of illegally transporting people from one country or area to another, typically for the purposes of forced labour or commercial sexual exploitation."
Violence,Abduction & Restraint,Kidnapping,kidnapping,Yes,Kidnapping is taking away or forcefully transporting a person against their will and holding hostage for a ransom.
Violence,Abduction & Restraint,Unlawful Restraint,unlawful_restraint,Yes,The crime of unlawful restraint occurs whenever someone illegally deprives others of their physical freedom.
Violence,Animal Cruelty,Animal Abandonment,animal_abandonment,No,Abandoning a domesticated animal.
Violence,Animal Cruelty,Animal Cruelty,animal_cruelty,Yes,Generaly cruelty towards animals not listed in other categories.
Violence,Animal Cruelty,Animal Fighting,animal_fighting,Yes,"Dog fighting, or any other illegal fighting of animals."
Violence,Animal Cruelty,Leave without Food & Water,leave_without_food_and_water,No,Leaving an animal one owns without food or water.
Violence,Animal Cruelty,Mutilate Animal,mutilate_animal,Yes,Inflict a violent and disfiguring injury on an animal.
Violence,Animal Cruelty,Overworking Animals,overworking_animals,Yes,"Overworking the animals one owns, putting the animal's life in danger."
Violence,Assault & Battery,Assault & Battery,assault_and_battery,Yes,Assault & Battery is a physical act that results in that harmful or offensive contact.
Violence,Assault & Battery,Assault or Battery on Police Officer,assault_or_battery_on_police_officer,Yes,Assault & Battery is a physical act that results in that harmful or offensive contact against a police officer or other public official.
Violence,Assault & Battery,Assault with a Deadly Weapon,assault_with_a_deadly_weapon,Yes,An assault with a deadly weapon occurs when an attacker accompanies a physical attack with a physical object capable of inflicting serious bodily injury or death.
Violence,Assault & Battery,Domestic Assault & Battery,domestic_assault_and_battery,Yes,Assault & Battery of a household member.
Violence,Assault & Battery,Strangulation,strangulation,Yes,Strangling is compression of the neck that may lead to unconsciousness or death by causing an increasingly hypoxic state in the brain.
Violence,Assault & Battery,Throwing of Bodily Fluids,throwing_of_bodily_fluids,Yes,"""Bodily fluid"" means any bodily secretion, including but not limited to feces, urine, blood, and saliva."
Violence,Child & Elder Abuse,Child Abandonment,child_abandonment,Yes,Child abandonment is the practice of relinquishing interests and claims over one's offspring in an extralegal way with the intent of never again resuming or reasserting them.
Violence,Child & Elder Abuse,Child Abuse,child_abuse,Yes,"Child abuse or child maltreatment is physical or psychological maltreatment or neglect of a child or children, especially by a parent or other caregiver."
Violence,Child & Elder Abuse,Elder/Disabled Abuse,elder_disabled_abuse,Yes,Physical or psychological maltreatment or neglect of a disalbed or eledery person in one's care.
Violence,Child & Elder Abuse,Endangering Welfare of Children,endangering_welfare_of_children,Yes,"Violating a duty of care, protection or support of a child."
Violence,Child & Elder Abuse,Fail to Report Child & Elder Abuse,fail_to_report_child_and_elder_abuse,Yes,"Failing to report child, disabled, or elderly abuse to authorities."
Violence,Disorderly Behavior,Causing Catastrophe,causing_catastrophe,Yes,"A person causes a catastrophe by explosion, fire, flood, avalanche, collapse of building, release of poison, or other means."
Violence,Disorderly Behavior,Disorderly Conduct (with Violence),disorderly_conduct_with_violence,Yes,Engaging in disorderly conduct that is violent in nature.
Violence,Disorderly Behavior,Fighting,fighting,Yes,"Fighting, affray."
Violence,Disorderly Behavior,Inducing Panic,inducing_panic,Yes,Cause serious public inconvenience or alarm.
Violence,Disorderly Behavior,Interfere with Electronic Communications,interfere_with_electronic_communications,No,Cause serious public inconvenience or alarm.
Violence,Disorderly Behavior,Resist Arrest (with Violence),resist_arrest_with_violence,Yes,Resisting one's arrest with violence.
Violence,Disorderly Behavior,Rioting or Mob Action,rioting_or_mob_action,Yes,A violent disturbance of the peace by a crowd.
Violence,Harassment & Threats,Blackmail/Extortion,blackmail_extortion,Yes,"Refers to intimidating or threatening the person with violence, social, or emotional defemation in exchange for money or another form of worth."
Violence,Harassment & Threats,Harassment,harassment,Yes,Behavior that appears to be disturbing or threatening.
Violence,Harassment & Threats,Hate Crimes,hate_crimes,Yes,"A crime motivated by racial, sexual, or other prejudice, typically one involving violence."
Violence,Harassment & Threats,Hazing,hazing,No,"The practice of rituals, challenges, and other activities involving harassment, abuse or humiliation used as a way of initiating a person into a group."
Violence,Harassment & Threats,Intimidation,intimidation,Yes,"Intimidation is intentional behavior that ""would cause a person of ordinary sensibilities"" to fear injury or harm."
Violence,Harassment & Threats,Invasion of Privacy,invasion_of_privacy,No,Intrusion upon an individual's reasonable expectation of privacy.
Violence,Harassment & Threats,Menacing,menacing,No,Conduct placing others in fear of imminent serious physical injury.
Violence,Harassment & Threats,Stalking,stalking,No,"Stalking can be defined as the willful and repeated following, watching and/or harassing of another person."
Violence,Harassment & Threats,Telephone/Cyber Harassment,telephone_cyber_harassment,No,"Harassment via phone, computer, or other digital device."
Violence,Harassment & Threats,Threats,threats,Yes,Threatening another - not terroristic in nature.
Violence,Weapons & Endangerment,Endangerment,endangerment,Yes,"Endangerment is a type of crime involving conduct that is wrongful and reckless or wanton, and likely to produce death or grievous bodily harm to another person."
Violence,Weapons & Endangerment,Manufacture/Sale/Import of Weapons,manufacture_sale_import_of_weapons,Yes,Selling or distributing weapons illegally.
Violence,Weapons & Endangerment,Reckless Use of Firearm,reckless_use_of_firearm,Yes,"Reckless, wanton use or negligent discharge of firearm."
Violence,Weapons & Endangerment,Unlawful Possession of Ammunition,unlawful_possession_of_ammunition,Yes,Unlawfully possessing and/or storing ammunition.
Violence,Weapons & Endangerment,Unlawful Possession of Firearm,unlawful_possession_of_firearm,Yes,"Unlawfully possessing and/or storing a firearm (felon owning firearm, no license for firearm, carrying a concealed firearm, etc)"
Violence,Weapons & Endangerment,Use Firearm/Weapon in Commission of a Crime,use_firearm_weapon_in_commission_of_a_crime,Yes,Using a firearm/weapon during the course of commiting another crime.
Violence,Weapons & Endangerment,Weapons Violations,weapons_violations,Yes,General weapons violations.
Unclassified,Unclassified,Unclassified,unclassified,No,Unable to determine what the charge classification is.
