Category,SubCategory,SubSubCategory,Risk Score ,SubSubCategory (input),"Filter
Yes = Include No = Don't Include",Description,,,,,,,,,,,,,,,,,,,,
Statutory,Public Nuisance,Obstruct Passageway,,obstruct_passageway,No,"Blocking a roadway or sidewalk with a vehicle, one's body, or other object.",,,,,,,,,,,,,,,,,,,,
Statutory,Public Nuisance,Public Urination,,public_urination,No,Urinating in public.,,,,,,,,,,,,,,,,,,,,
Statutory,Public Nuisance,Unlawful Storage,,unlawful_storage,No,Wrongfully storing junk materials.,,,,,,,,,,,,,,,,,,,,
Statutory,Safety & Zoning,Burning Violation,,burning_violation,No,Open burning in prohibited areas or at prohibited times.,,,,,,,,,,,,,,,,,,,,
Statutory,Safety & Zoning,Hazardous Materials,,hazardous_materials,No,Not abiding by law for dangerous or toxic materials.,,,,,,,,,,,,,,,,,,,,
Statutory,Safety & Zoning,Illegal Fireworks,,illegal_fireworks,No,Possessing and using fireworks illegally.,,,,,,,,,,,,,,,,,,,,
Statutory,Safety & Zoning,Sanitation Violation,,sanitation_violation,No,Violation of sanitation codes which require cleanliness and the safe disposal of all trash and debris.,,,,,,,,,,,,,,,,,,,,
Statutory,Safety & Zoning,Zoning Violation,,zoning_violation,No,A zoning violation is when a property does not meet the regulations as governed in the Zoning Ordinance.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Arson,Arson,High,arson,Yes,"Arson is a crime of intentionally, deliberately and maliciously setting fire to buildings, wildland areas, abandoned homes, vehicles or other property with the intent to cause damage.",,,,,,,,,,,,,,,,,,,,
Theft & Property,Burglary,Burglary,High,burglary,Yes,Burglary (also called breaking and entering and sometimes housebreaking) is an unlawful entry into a building or other location for the purposes of committing an offence.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Petty Theft,Petty Theft,Med,petty_theft,Yes,Petty theft is a type of theft crime that is based on the low value of the stolen property.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Petty Theft,Retail Theft,Med,retail_theft,Yes,Shoplifting or a theft that takes place in a retail store.  Includes concealment/price altering.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Possession of Stolen Property,Dealing Stolen Property,High,dealing_stolen_property,Yes,Distributing/selling property that is known to be stolen.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Possession of Stolen Property,Possession/Receipt of Stolen Property,High,possession_receipt_of_stolen_property,Yes,Possessing or buying property that is known to be stolen.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Robbery,Armed Robbery,High,armed_robbery,Yes,Robbery involving use of a weapon.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Robbery,Carjacking,High,carjacking,Yes,Carjacking is a robbery in which the item taken over is a vehicle.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Robbery,Robbery,High,robbery,Yes,"Robbery is the crime of taking or attempting to take anything of value by force, threat of force, or by putting the victim in fear.",,,,,,,,,,,,,,,,,,,,
Theft & Property,Theft,Auto Theft,High,auto_theft,Yes,Stealing a car (not a robbery/carjacking).,,,,,,,,,,,,,,,,,,,,
Theft & Property,Theft,Credit Card Theft,High,credit_card_theft,Yes,Stealing a credit card or card information.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Theft,Criminal Conversion,High,criminal_conversion,Yes,A person who knowingly or intentionally exerts unauthorized control over property of another person commits criminal conversion.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Theft,Grand Theft (Non Auto),High,grand_theft_non_auto,Yes,Theft of high value property. (Value over $500 in most jurisdictions or as otherwise indicated in the charge name),,,,,,,,,,,,,,,,,,,,
Theft & Property,Theft,Theft,High,theft,Yes,General stealing.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Theft,Unauthorized Use of Property,High,unauthorized_use_of_property,Yes,"Using property without permission of owner, oftentimes a car.",,,,,,,,,,,,,,,,,,,,
Theft & Property,Trespassing,Prowling,Low,prowling,Yes,Prowling generally refers to the crime of lurking in an area with an intent to commit a crime.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Trespassing,Trespassing,Low,trespassing,Yes,To enter an owner's land or property without permission.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Trespassing,Unlawful Entry,Med,unlawful_entry,Yes,Unlawful entry is entering property for the purpose of damaging the property or interfering with the lawful use of the property by the rightful owner of the property.,,,,,,,,,,,,,,,,,,,,
Theft & Property,Vandalism & Mischief,Graffiti,Low,graffiti,Yes,"Writing or drawings scribbled, scratched, or sprayed illicitly on a wall or other surface in a public place.",,,,,,,,,,,,,,,,,,,,
Theft & Property,Vandalism & Mischief,Vandalism & Mischief,Med,vandalism_and_mischief,Yes,Recklessly defacing or damaging property of another person.  Involves Criminal Damage.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,License & Registration,Driver's License not in Possession,High,drivers_license_not_in_possession,Yes,Not possessing driver's license while operating a vehicle.  Example is when you left it at home.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,License & Registration,Invalid Vehicle Inspection,High,invalid_vehicle_inspection,Yes,Not possessing a valid vehicle inspection document.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,License & Registration,No Valid Registration,High,no_valid_registration,Yes,Using a vehicle with no valid registration of a vehicle.  Also includes no valid license plates or tags.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,License & Registration,Operate a Vehicle without Insurance,High,operate_a_vehicle_without_insurance,Yes,Operating a vehicle without insurance.  Sometimes known as failure to provide financial responsibility.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,License & Registration,Operate a Vehicle without valid Driver's License,High,operate_a_vehicle_without_valid_drivers_license,Yes,"Not having a valid driver's license while operating a vehicle.  Not simply left at home, but not generallly having a valid license.",,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,License & Registration,Wrongful Entrustment,High,wrongful_entrustment,Yes,Wrongful entrustement of vehicle to one while knowing they cannot legally drive.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Parking,Disabled Parking Violation,Low,disabled_parking_violation,Yes,Handicap parking violation.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Parking,Illegally Parked,Low,illegally_parked,Yes,Parking in restricted areas or in unrestricted areas for illegal amounts of time.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Speeding,Speeding,Med,speeding,Yes,Driving a vehicle above speed limit.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Accident Involving Damage/Injury,High,accident_involving_damage_injury,Yes,"Reckless driving causing accident, Involvoing 2 or more vehicles in motion",,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Disobey Traffic Rules,Med,disobey_traffic_rules,Yes,"Disobeying traffic rules such as a traffic light, stop sign, or other traffic signal.",,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Distracted Driving,Med,distracted_driving,Yes,Not paying proper attention to road while driving by means of using a phone or some other activity.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Failure to Report Accident,Med,failure_to_report_accident,Yes,Failure to report an accident to insurance and/or authorities.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Failure to Stop at Scene of Accident,High,failure_to_stop_at_scene_of_accident,Yes,Failing to stop when witnessing an accident or involved in (but not causing) an accident.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Hit & Run,High,hit_and_run,Yes,Causing an accident with vehicle and leaving the scene or striking an unattended vehicle or stationary object,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Hit & Run Causing Injury,High,hit_and_run_causing_injury,Yes,Causing injury (to either a person or property) via a vehicle and not stopping at scene of accident.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Racing,High,racing,Yes,Racing a vehicle.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Reckless or Negligent Operation,High,reckless_or_negligent_operation,Yes,Reckless operation of vehicle.  This is more severe than failing to obey traffic rules.  Needs to signify some sort of recklessness or unsafe operation.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Recreational Vehicle Unsafe Operation,Med,recreational_vehicle_unsafe_operation,Yes,"Unsafe operation of ATV, boat, plane, etc..",,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Unsafe Operation,Unlawfully Operate Commercial Vehicle,High,unlawfully_operate_commercial_vehicle,Yes,"General unlawfully operating commercial motor vehicle - can include charges such as exceeding maximum drive time, etc.",,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Vehicle Equipment,Car Seat/Child Restraint Violation,Low,car_seat_child_restraint_violation,Yes,Not using seatbelt or car seat on child when required.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Vehicle Equipment,Commercial Motor Vehicle Equipment Violation,Low,commercial_motor_vehicle_equipment_violation,Yes,"Broken, illegal, or unsafe vehicle equipment (e.g. speedometer, wheels, license plate lights, etc..) on a commerical motor vehicle.",,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Vehicle Equipment,Defective Vehicle Equipment,Low,defective_vehicle_equipment,Yes,"Broken, illegal, or unsafe vehicle equipment (e.g. speedometer, wheels, license plate lights, etc..).",,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Vehicle Equipment,Obscuring License Plate,Low,obscuring_license_plate,Yes,License plate not visible or obscured by cover or other accessory to prevent or impede surveillance equipment or identification.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Vehicle Equipment,Recreational Vehicle Equipment Violation,Low,recreational_vehicle_equipment_violation,Yes,"Boat, plane, motorcycle or other vehicle not having proper equipement that is legally necessary.",,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Vehicle Equipment,Seatbelt Violation,Low,seatbelt_violation,Yes,Not wearing a seatbelt.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Vehicle Equipment,Unsafe Vehicle Load,Low,unsafe_vehicle_load,Yes,Unsafe load or cargo on a vehicle.,,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Vehicle Equipment,Vehicle Lights Violation,Low,vehicle_lights_violation,Yes,"Issue with headlight or tailights only.  Includes improper use, broken, or other issue. Does not include license plate light.",,,,,,,,,,,,,,,,,,,,
Vehicles & Traffic,Vehicle Equipment,Window Tint Violation,Low,window_tint_violation,Yes,"Tinted, reflective windows or other vehicle window violation.",,,,,,,,,,,,,,,,,,,,
Violence,Abduction & Restraint,Abduction,High,abduction,Yes,Abduction is when someone uses deceit or force in order to take a person or a child away from their home or relatives. ,,,,,,,,,,,,,,,,,,,,
Violence,Abduction & Restraint,False Imprisonment,High,false_imprisonment,Yes,False imprisonment occurs when a person is restricted in their personal movement within any area without justification or consent.,,,,,,,,,,,,,,,,,,,,
Violence,Abduction & Restraint,Human Trafficking,High,human_trafficking,Yes,"The action or practice of illegally transporting people from one country or area to another, typically for the purposes of forced labour or commercial sexual exploitation.",,,,,,,,,,,,,,,,,,,,
Violence,Abduction & Restraint,Kidnapping,High,kidnapping,Yes,Kidnapping is taking away or forcefully transporting a person against their will and holding hostage for a ransom.,,,,,,,,,,,,,,,,,,,,
Violence,Abduction & Restraint,Unlawful Restraint,High,unlawful_restraint,Yes,The crime of unlawful restraint occurs whenever someone illegally deprives others of their physical freedom.,,,,,,,,,,,,,,,,,,,,
Violence,Animal Cruelty,Animal Abandonment,,animal_abandonment,No,Abandoning a domesticated animal.,,,,,,,,,,,,,,,,,,,,
Violence,Animal Cruelty,Animal Cruelty,Low,animal_cruelty,Yes,Generaly cruelty towards animals not listed in other categories.,,,,,,,,,,,,,,,,,,,,
Violence,Animal Cruelty,Animal Fighting,Low,animal_fighting,Yes,"Dog fighting, or any other illegal fighting of animals.",,,,,,,,,,,,,,,,,,,,
Violence,Animal Cruelty,Leave without Food & Water,,leave_without_food_and_water,No,Leaving an animal one owns without food or water.,,,,,,,,,,,,,,,,,,,,
Violence,Animal Cruelty,Mutilate Animal,Low,mutilate_animal,Yes,Inflict a violent and disfiguring injury on an animal.,,,,,,,,,,,,,,,,,,,,
Violence,Animal Cruelty,Overworking Animals,Low,overworking_animals,Yes,"Overworking the animals one owns, putting the animal's life in danger.",,,,,,,,,,,,,,,,,,,,
Violence,Assault & Battery,Assault & Battery,Med,assault_and_battery,Yes,Assault & Battery is a physical act that results in that harmful or offensive contact.,,,,,,,,,,,,,,,,,,,,
Violence,Assault & Battery,Assault or Battery on Police Officer,High,assault_or_battery_on_police_officer,Yes,Assault & Battery is a physical act that results in that harmful or offensive contact against a police officer or other public official.,,,,,,,,,,,,,,,,,,,,
Violence,Assault & Battery,Assault with a Deadly Weapon,High,assault_with_a_deadly_weapon,Yes,An assault with a deadly weapon occurs when an attacker accompanies a physical attack with a physical object capable of inflicting serious bodily injury or death.,,,,,,,,,,,,,,,,,,,,
Violence,Assault & Battery,Domestic Assault & Battery,Med,domestic_assault_and_battery,Yes,Assault & Battery of a household member.,,,,,,,,,,,,,,,,,,,,
Violence,Assault & Battery,Strangulation,High,strangulation,Yes,Strangling is compression of the neck that may lead to unconsciousness or death by causing an increasingly hypoxic state in the brain.,,,,,,,,,,,,,,,,,,,,
Violence,Assault & Battery,Throwing of Bodily Fluids,Med,throwing_of_bodily_fluids,Yes,"""Bodily fluid"" means any bodily secretion, including but not limited to feces, urine, blood, and saliva.",,,,,,,,,,,,,,,,,,,,
Violence,Child & Elder Abuse,Child Abandonment,Low,child_abandonment,Yes,Child abandonment is the practice of relinquishing interests and claims over one's offspring in an extralegal way with the intent of never again resuming or reasserting them.,,,,,,,,,,,,,,,,,,,,
Violence,Child & Elder Abuse,Child Abuse,Low,child_abuse,Yes,"Child abuse or child maltreatment is physical or psychological maltreatment or neglect of a child or children, especially by a parent or other caregiver.",,,,,,,,,,,,,,,,,,,,
Violence,Child & Elder Abuse,Elder/Disabled Abuse,Low,elder_disabled_abuse,Yes,Physical or psychological maltreatment or neglect of a disalbed or eledery person in one's care.,,,,,,,,,,,,,,,,,,,,
Violence,Child & Elder Abuse,Endangering Welfare of Children,Med,endangering_welfare_of_children,Yes,"Violating a duty of care, protection or support of a child.",,,,,,,,,,,,,,,,,,,,
Violence,Child & Elder Abuse,Fail to Report Child & Elder Abuse,Low,fail_to_report_child_and_elder_abuse,Yes,"Failing to report child, disabled, or elderly abuse to authorities.",,,,,,,,,,,,,,,,,,,,
Violence,Disorderly Behavior,Causing Catastrophe,High,causing_catastrophe,Yes,"A person causes a catastrophe by explosion, fire, flood, avalanche, collapse of building, release of poison, or other means.",,,,,,,,,,,,,,,,,,,,
Violence,Disorderly Behavior,Disorderly Conduct (with Violence),Med,disorderly_conduct_with_violence,Yes,Engaging in disorderly conduct that is violent in nature.,,,,,,,,,,,,,,,,,,,,
Violence,Disorderly Behavior,Fighting,Med,fighting,Yes,"Fighting, affray.",,,,,,,,,,,,,,,,,,,,
Violence,Disorderly Behavior,Inducing Panic,Med,inducing_panic,Yes,Cause serious public inconvenience or alarm.,,,,,,,,,,,,,,,,,,,,
Violence,Disorderly Behavior,Interfere with Electronic Communications,,interfere_with_electronic_communications,No,Cause serious public inconvenience or alarm.,,,,,,,,,,,,,,,,,,,,
Violence,Disorderly Behavior,Resist Arrest (with Violence),Med,resist_arrest_with_violence,Yes,Resisting one's arrest with violence.,,,,,,,,,,,,,,,,,,,,
Violence,Disorderly Behavior,Rioting or Mob Action,Med,rioting_or_mob_action,Yes,A violent disturbance of the peace by a crowd.,,,,,,,,,,,,,,,,,,,,
Violence,Harassment & Threats,Blackmail/Extortion,Low,blackmail_extortion,Yes,"Refers to intimidating or threatening the person with violence, social, or emotional defemation in exchange for money or another form of worth.",,,,,,,,,,,,,,,,,,,,
Violence,Harassment & Threats,Harassment,Low,harassment,Yes,Behavior that appears to be disturbing or threatening.,,,,,,,,,,,,,,,,,,,,
Violence,Harassment & Threats,Hate Crimes,Low,hate_crimes,Yes,"A crime motivated by racial, sexual, or other prejudice, typically one involving violence.",,,,,,,,,,,,,,,,,,,,
Violence,Harassment & Threats,Hazing,,hazing,No,"The practice of rituals, challenges, and other activities involving harassment, abuse or humiliation used as a way of initiating a person into a group.",,,,,,,,,,,,,,,,,,,,
Violence,Harassment & Threats,Intimidation,Low,intimidation,Yes,"Intimidation is intentional behavior that ""would cause a person of ordinary sensibilities"" to fear injury or harm.",,,,,,,,,,,,,,,,,,,,
Violence,Harassment & Threats,Invasion of Privacy,,invasion_of_privacy,No,Intrusion upon an individual's reasonable expectation of privacy.,,,,,,,,,,,,,,,,,,,,
Violence,Harassment & Threats,Menacing,,menacing,No,Conduct placing others in fear of imminent serious physical injury.,,,,,,,,,,,,,,,,,,,,
Violence,Harassment & Threats,Stalking,,stalking,No,"Stalking can be defined as the willful and repeated following, watching and/or harassing of another person.",,,,,,,,,,,,,,,,,,,,
Violence,Harassment & Threats,Telephone/Cyber Harassment,,telephone_cyber_harassment,No,"Harassment via phone, computer, or other digital device.",,,,,,,,,,,,,,,,,,,,
Violence,Harassment & Threats,Threats,Low,threats,Yes,Threatening another - not terroristic in nature.,,,,,,,,,,,,,,,,,,,,
Violence,Weapons & Endangerment,Endangerment,Low,endangerment,Yes,"Endangerment is a type of crime involving conduct that is wrongful and reckless or wanton, and likely to produce death or grievous bodily harm to another person.",,,,,,,,,,,,,,,,,,,,
Violence,Weapons & Endangerment,Manufacture/Sale/Import of Weapons,Low,manufacture_sale_import_of_weapons,Yes,Selling or distributing weapons illegally.,,,,,,,,,,,,,,,,,,,,
Violence,Weapons & Endangerment,Reckless Use of Firearm,Low,reckless_use_of_firearm,Yes,"Reckless, wanton use or negligent discharge of firearm.",,,,,,,,,,,,,,,,,,,,
Violence,Weapons & Endangerment,Unlawful Possession of Ammunition,Low,unlawful_possession_of_ammunition,Yes,Unlawfully possessing and/or storing ammunition.,,,,,,,,,,,,,,,,,,,,
Violence,Weapons & Endangerment,Unlawful Possession of Firearm,Low,unlawful_possession_of_firearm,Yes,"Unlawfully possessing and/or storing a firearm (felon owning firearm, no license for firearm, carrying a concealed firearm, etc)",,,,,,,,,,,,,,,,,,,,
Violence,Weapons & Endangerment,Use Firearm/Weapon in Commission of a Crime,Med,use_firearm_weapon_in_commission_of_a_crime,Yes,Using a firearm/weapon during the course of commiting another crime.,,,,,,,,,,,,,,,,,,,,
Violence,Weapons & Endangerment,Weapons Violations,Low,weapons_violations,Yes,General weapons violations.,,,,,,,,,,,,,,,,,,,,
Unclassified,Unclassified,Unclassified,,unclassified,No,Unable to determine what the charge classification is.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
